Ano,Consulta Pública SEI,Processo,Instrumento,Partes,Objeto,Data (assinatura/publicação),Término de Vigência,Link Consulta Pública
2024,:: SEI - Pesquisa Processual ::,34101.000285/2024.48,TERMO DE ACORDO DE COOPERAÇÃO TÉCNICA Nº 001/2024 -,ACORDO DE COOPERAÇÃO TÉCNICA QUE ENTRE SI CELEBRAMSECRETARIA DE ESTADO DA EDUCAÇÃO E DESPORTO DE RORAIMA E A SECRETARIA DE ESTADO DA CULTURA E TURISMO.,CESSÃO DE SERVIDOR ENTRE A SECRETARIA DE ESTADO DA EDUCAÇÃO E DESPORTO DE RORAIMA E A SECRETARIA DE ESTADO DA CULTURA E TURISMO.,1/2/24,02/02/2025,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNVQI1zwjmRzpR2CSNPX0xrUhfra2JxCUdg5oWEyygP5p
2023,:: SEI - Pesquisa Processual ::,30101.001599/2023.26,Acordo de Cooperação Técnica 001/2023 SECIDADES/GABINETE,"ACORDO DE COOPERAÇÃO TÉCNICA QUE ENTRE SI CELEBRAM SEBRAE/RR E O ESTADO DE RORAIMA, POR MEIO DA SECIDADES","O presente Acordo tem por objeto estabelecer a mútua cooperação entre os PARTÍCIPES a fim viabilizar a realização de atividades conjuntas com vistas à execução do levantamento de necessidades empresariais, por meio de censos e visitas técnicas, além de suporte técnico e operacional quando se fizerem necessários às ações destes nos Municípios e na Capital, em apoio ao desenvolvimento dos Pequenos Negócios no estado de Roraima",10/19/23,10/19/24,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNUj--L3SsdKc1KdMJYN2MBZ35r6gKT8htpD2xuEDe-AJ
2023,SEI/GRR - 8428561 - Acordo de Cooperação Técnica,22301.000116/2023.91,TERMO DE COOPERAÇÃO TÉCNICA Nº 010/2023,ACORDO DE COOPERAÇÃO QUE ENTRE SI CELEBRAM A JUNTA COMERCIAL DO ESTADO DE RORAIMA - JUCERR E A FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE E RECURSOS HÍDRICOS DE RORAIMA - FEMARH/RR,"O presente Acordo de Cooperação tem por objeto a conjunção de esforços entre JUCERR e FEMARH, para acesso ao cadastro de empresas (SRM), a coleta e compartilhamento de informações e dados, desenvolvimento da Emissão Automática de Dispensa de Licença para a abertura de empresas, bem como a integração de sistemas, criação de projetos e ações correlacionadas.",4/20/23,Indeterminado,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_documento_consulta_externa.php?9LibXMqGnN7gSpLFOOgUQFziRouBJ5VnVL5b7-UrE5Tr8pMCavs5YhCgcc5G0N-zb-Y4xYaAfGjP_1N-fr9R4-cGwCqhkbLD1XGrjIZYdSXlnulLol-IJ2UkAzLW2qSR
2025,:: SEI - Pesquisa Processual ::,30101.001047/2025.80,Acordo de Cooperação Técnica - Nº 03/2025,"ACORDO DE COOPERAÇÃO TÉCNICA QUE ENTRE SI CELEBRAM O ESTADO DE RORAIMA POR MEIO DA SECRETARIA DE ESTADO DAS CIDADES, DESENVOLVIMENTO URBANO E GESTÃO DE CONVÊNIOS (SECIDADES) E A CASA CIVIL; CASA MILITAR; COGER - CONTROLADORIA GERAL DO ESTADO DE RORAIMA; PGE/RR - PROCURADORIA GERAL DO ESTADO DE RORAIMA; SEEAI - SECRETARIA DE ESTADO EXTRAORDINÁRIA DE ATRAÇÃO DE INVESTIMENTOS; SEEDHS – SECRETARIA DE ESTADO EXTRAORDINÁRIA DE DESENVOLVIMENTO HUMANO E SOCIAL; CBMRR – CORPO DE BOMBEIROS MILITAR DE RORAIMA; PCRR – POLICIA CIVIL DO ESTADO DE RORAIMA; PMRR – POLICIA MILITAR DO ESTADO DE RORAIMA; SEADI – SECRETARIA DE ESTADO DA AGRICULTURA, DESENVOLVIMENTO E INOVAÇÃO; SEED – SECRETARIA DE EDUCAÇÃO E DESPORTO; SEFAZ – SECRETARIA DE ESTADO DA FAZENDA; SECOM – SECRETARIA DE ESTADO DE COMUNICAÇÃO SOCIAL; SECULT – SECRETARIA DE ESTADO DA CULTURA E TURISMO; SEGAD – SECRETARIA DE ESTADO DA GESTÃO ESTRATÉGICA E ADMINISTRAÇÃO; SEGOD – SECRETARIA DE ESTADO DE GOVERNO DIGITAL; SEINF – SECRETARIA DE ESTADO DA INFRAESTRUTURA; SEJUC – SECRETARIA DE ESTADO DA JUSTIÇA E CIDADANIA; SELC – SECRETARIA DE ESTADO DE LICITAÇÃO E CONTRATAÇÃO; SEPLAN – SECRETARIA DE ESTADO DE PLANEJAMENTO E ORÇAMENTO; SERBRAS – SECRETARIA DA REPRESENTAÇÃO DO GOVERNO DE RORAIMA EM BRASÍLIA; SESAU – SECRETARIA DE ESTADO DA SAÚDE DE RORAIMA; SESP – SECRETARIA DE ESTADO DOS POVOS INDÍGENAS; SETRABES – SECRETARIA DE ESTADO DO TRABALHO E BEM-ESTAR SOCIAL; SEPI – SECRETARIA DE ESTADO DOS POVOS INDÍGENAS; ADERR – AGÊNCIA DE DEFESA AGROPECUÁRIA DO ESTADO DE RORAIMA; CAER – COMPANHIA DE ÁGUAS E ESGOTOS DE RORAIMA;  CODESAIMA – COMPANHIA DE DESENVOLVIMENTO DE RORAIMA; CERR – COMPANHIA ENERGÉTICA DE RORAIMA; CODESAIMA – COMPANHIA DE DESENVOLVIMENTO DE RORAIMA; DESENVOLVE/RR – AGÊNCIA DE DESENVOLVIMENTO DO ESTADO DE RORAIMA; DETRAN – DEPARTAMENTO ESTADUAL DE TRÂNSITO DE RORAIMA; FAPERR – FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE RORAIMA; FEMARH – FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE E RECURSOS HÍDRICOS; IATER – INSTITUTO DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE RORAIMA; IERR – INSTITUTO DE EDUCAÇÃO DE RORAIMA; IPEM – INSTITUTO DE PESOS E MEDIDAS DE RORAIMA; IPER – INSTITUTO DE PREVIDENCIA DO ESTADO DE RORAIMA;  ITERAIMA – INSTITUTO DE TERRAS E COLONIZAÇÕES; JUCERR – JUNTA COMERCIAL DO ESTADO DE RORAIMA; RADIORAIMA – RÁDIO RORAIMA; UERR - UNIVERSIDADE ESTADUAL DE RORAIMA","Visa  à prestação de apoio técnico, humano e logístico para o desenvolvimento de programas socioeconômicos, urbanísticos e de infraestrutura nos municípios.",7/11/25,7/11/27,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNScm5A970vSg6vqVeEgRA8NFXVrYJznUDkUF1t8KzZkE
2025,:: SEI - Pesquisa Processual ::,36101.000034/2025.70,Acordo de Cooperação Técnica 06/2025,CELEBRAM A SECRETARIA DE ESTADO DE GOVERNO DIGITAL - SEGOD E A SECRETARIA DE ESTADO DA FAZENDA - SEFAZ RR,"Compartilhamento mútuo de estrutura e infraestrutura de rede, equipamentos de tecnologia da informação e sistemas para o desenvolvimento de ações institucionais de gestão, controle e combate às infrações penais e tributárias.",2/13/25,2/13/30,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNeG8yjn5nk70xiqXH2_51kL7d5bu_1GuCgs4I17DeGjX
2025,:: SEI - Pesquisa Processual ::,18501.000791/2025.59,Acordo de Cooperação Técnica 10/2025,CELEBRAM A COMPANHIA DE DESENVOLVIMENTO DE RORAIMA – CODESAIMA E A DEFENSORIA PÚBLICA DO ESTADO DE RORAIMA – DPE/RR.,"ação conjunta dos partícipes com vistas à cooperação administrativa, compreendida na disponibilização de pessoal do quadro de efetivos da CODESAIMA para desempenho de atividades de natureza técnica e/ou administrativa, no campo de suas competências e atribuições no âmbito da Defensoria Pública do Estado de Roraima, visando o atendimento eficiente dos interesses e fins da Administração Pública",3/14/25,3/14/29,https://sei.rr.gov.br/sei/modulos/pesquisa/md_pesq_processo_exibir.php?IC2o8Z7ACQH4LdQ4jJLJzjPBiLtP6l2FsQacllhUf-duzEubalut9yvd8-CzYYNLu7pd-wiM0k633-D6khhQNe27IJ0xo-6o54ICHp5NMXQMhDKZKClLvDfHMa6rz4wT
2021,SEI - Acesso Externo com Acompanhamento Integral do Processo,20101.018848/2021.05,TERMO DE COOPERAÇÃO TÉCNICA,"CELEBRAM A FACULDADES CATHEDRAL DE ENSINO SUPERIOR E SECRETARIA DE ESTADO DA SAÚDE DE RORAIMA, PARA CONCESSÃO DE ESTÁGIO OBRIGATÓRIO AOS ESTUDANTES DE CURSOS DE GRADUAÇÃO.","proporcionar estágio supervisionado aos acadêmicos, nas modalidades de estágios obrigatório, regularmente matriculados nos Cursos de Graduação: FISIOTERAPIA, FARMÁCIA, PSICOLOGIA, SERVIÇO SOCIAL e ODONTOLOGIA da FACULDADES CATHEDRAL, com o intuito de propiciar aos estagiários a oportunidade para aprofundar conhecimentos e  desenvolver habilidades significativas para a formação profissional.",,,https://sei.rr.gov.br/sei/processo_acesso_externo_consulta.php?id_acesso_externo=17052&amp;infra_hash=7eb0ec064941c287f755b5bb15a6a15a
2022,SEI_TJRR - 1524436 - Acordo de Cooperação Técnica,,Acordo de Cooperação Técnica nº 1/2023,"Acordo de cooperação técnica que entre si celebram o Tribunal de Justiça do Estado de Roraima - TJRR por meio do Comitê Estadual de Saúde, a Secretaria de Estado da Saúde de Roraima - SESAU e a Secretaria Municipal de Saúde de Boa Vista - SEMSA","disponibilizar subsídios técnicos aos magistrados nas demandas que tenham por objeto a prestação de serviço público de saúde, envolvendo o fornecimento de medicamentos e insumos em geral, exames, procedimentos de urgência e emergência, bem como os eletivos, leitos em unidades de terapia intensiva, tratamento médico e insumo nutricional.",12/7/22,12/7/27,https://www.tjrr.jus.br/images/NatJus/docspdf/SEI_TJRR---1524436---Acordo-de-Cooperao-Tcnica.pdf
2015,_Acordo_de_cooperação_Técnica_com.pdf,,Acordo de Cooperação Técnica,"CELEBRAM O GOVERNO DO ESTADO DE RORAIMA E O TRIBUNAL DE CONTAS DO ESTADO DE RORAIMA, PARA INTERCÂMBIO DE DADOS E INFORMAÇÕES, EXPERIÊNCIAS, TECNOLOGIAS E COOPERAÇÃO MÚTUA, BEM COMO A REAUZAÇÃO CONJUNTA DE TRABALHOS DE FISCALIZAÇÃO E AUDITORIAS.","Este Acordo de Cooperação Técnica tem por finalidade ampliar e aprimorar, de modo expresso e efetivo, a cooperação mútua e o intercâmbio de dados e informações, conhecimentos, experiências e tecnologias,. bem como a realização de ações conjuntas de fiscaliuiçâo e auditoria, a disponibilização de vaga.s e/ou divisão de custos de treinamentos e capacitações em áreas especializadas.",7/20/15,7/20/20,https://antigo.transparencia.rr.gov.br/images/_Acordo_de_coopera%C3%A7%C3%A3o_T%C3%A9cnica_com.pdf
2020,58572fd4ae9ca403ab748e0533763d58965356ee5e9721e975d9a20652118413,000683/2020,Termo Aditivo 001/2020,"PRIMEIRO TERMO ADITIVO AO ACORDO DE COOPERAÇÃO TÉCNICA CELEBRADO ENTRE O TRIBUNAL DE CONTAS DO ESTADO DE RORAIMA E O GOVERNO DO ESTADO DE INTERCÂMBIO INFORMAÇÕES, RORAIMA, DE PARA DADOS E EXPERIÊNCIAS, TECNOLOGIAS E COOPERAÇÃO MÚTUA, BEM COMO A REALIZAÇÃO CONJUNTA DE TRABALHO DE AUDITORIAS. FISCALIZAÇÃO E","O presente Termo Aditivo tem por objeto suprimir os subitens 2.1.1 e 2.1.1.1 da Cláusula Segunda, Das formas de intercâmbio e Cooperação, os subitens 3.4, 3.5, 3.6 e 3.7 da Cláusula Terceira, Das condições da execução, bem como, alterar o prazo de vigência previsto na Cláusula Sexta",10/16/20,Tempo Indeterminado,https://antigo.transparencia.rr.gov.br/images/arquivos/Termo_Aditivo_Coopera%C3%A7%C3%A3o_T%C3%A9cnica_TCERR_GOVERNO_001_2020_OCR.pdf